Zip,Population,County,State,WiredCount_2020,Fwcount_2020,BroadbandProviderCount,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan
18920,361.00,Bucks,Pennsylvania,3,0,3,8,2,2,4,2,60,7.32,15.12,1.00,49.82
18923,998.00,Bucks,Pennsylvania,3,0,3,9,2,2,4,2,0,0,0,1.00,39.99
18925,6195.00,Bucks,Pennsylvania,3,0,3,9,2,2,4,2,12378,169.57,322.25,1.00,39.99
18929,9306.00,Bucks,Pennsylvania,3,0,3,9,2,2,4,2,11736,95.43,250.61,1.00,39.99
18930,2721.00,Bucks,Pennsylvania,7,0,7,12,4,4,6,4,5194,27.34,50.14,1.00,39.99
18938,13989.00,Bucks,Pennsylvania,6,1,7,13,4,4,6,4,35970,201.7,355.35,1.00,39.99
18940,28825.00,Bucks,Pennsylvania,3,1,4,10,2,2,4,2,61318,161.48,399.29,1.00,39.99
18942,3260.00,Bucks,Pennsylvania,7,0,7,12,5,5,7,5,2702,31.9,63.96,1.00,39.99
18944,24479.00,Bucks,Pennsylvania,7,0,7,13,4,4,6,4,23420,112.72,316.59,0.99,39.99
18947,6172.00,Bucks,Pennsylvania,7,0,7,13,4,4,6,4,1890,102.47,236.37,1.00,39.99
18951,34651.00,Bucks,Pennsylvania,9,0,9,15,5,5,7,5,28202,120.6,285.81,1.00,39.99
18954,9745.00,Bucks,Pennsylvania,4,0,4,10,2,2,4,2,896,66.74,184.25,1.00,39.99
18955,1662.00,Bucks,Pennsylvania,5,0,5,11,4,4,6,4,2,1.4,1.4,1.00,39.99
18960,12473.00,Bucks,Pennsylvania,4,0,4,10,2,2,4,2,12632,92.9,236.71,1.00,39.99
18966,37999.00,Bucks,Pennsylvania,4,0,4,10,2,2,4,2,32498,116.86,323.92,1.00,39.99
18972,3512.00,Bucks,Pennsylvania,6,0,6,11,3,3,5,3,3814,32.03,68.79,1.00,49.82
18974,40953.00,Bucks,Pennsylvania,4,0,4,10,2,2,4,2,39092,84.47,210.03,0.99,39.99
18976,19795.00,Bucks,Pennsylvania,3,0,3,9,2,2,4,2,38272,137.8,315.55,1.00,39.99
18977,4291.00,Bucks,Pennsylvania,4,1,5,11,2,2,4,2,64,81.34,220.19,1.00,39.99
19007,21125.00,Bucks,Pennsylvania,4,0,4,10,2,2,4,2,19454,191.87,334.82,0.99,39.99
19020,55493.00,Bucks,Pennsylvania,5,0,5,11,2,2,4,2,288740,81.51,99.86,0.94,39.99
19021,10074.00,Bucks,Pennsylvania,4,0,4,10,2,2,4,2,1818,125.25,363.72,1.00,39.99
19030,12122.00,Bucks,Pennsylvania,4,0,4,10,2,2,4,2,1920,76.29,178.96,1.00,39.99
19047,35056.00,Bucks,Pennsylvania,5,0,5,11,3,2,5,2,46888,127.54,382.48,0.99,39.99
19053,25966.00,Bucks,Pennsylvania,5,0,5,11,3,3,5,3,16950,108.05,308.6,0.99,39.99
19054,17437.00,Bucks,Pennsylvania,3,0,3,9,2,2,4,2,15742,87.47,145.32,0.94,39.99
19055,13924.00,Bucks,Pennsylvania,3,0,3,9,2,2,4,2,14764,153.23,366.5,1.00,39.99
19056,15486.00,Bucks,Pennsylvania,4,0,4,10,2,2,4,2,1962,80.37,191.35,0.96,39.99
19057,17191.00,Bucks,Pennsylvania,3,0,3,9,2,2,4,2,13804,128.44,328.77,1.00,39.99
19067,51334.00,Bucks,Pennsylvania,4,1,5,11,2,2,4,2,46904,146.26,492.31,1.00,39.99
24416,8807.00,Buena Vista,Virginia,3,0,3,9,3,2,5,2,2968,77.38,225.18,0.92,60
40047,19345.00,Bullitt,Kentucky,6,2,8,15,5,5,8,6,9775,86.55,225.84,1.00,69.99
40109,1990.00,Bullitt,Kentucky,4,1,5,11,4,4,6,5,78,52.62,114.76,1.00,69.99
40150,4103.00,Bullitt,Kentucky,7,3,10,17,5,4,7,5,361,15.19,33.02,0.97,69.99
40165,32726.00,Bullitt,Kentucky,8,3,11,18,6,5,9,6,31847,87.25,281.88,1.00,55
30415,6780.00,Bulloch,Georgia,6,0,6,12,5,5,7,5,2230,60.39,142.13,1.00,29
30450,2583.00,Bulloch,Georgia,5,0,5,11,5,5,7,5,490,73.99,204.82,1.00,59.95
30452,1567.00,Bulloch,Georgia,5,0,5,11,4,4,6,4,662,48.21,94.92,1.00,59.95
